Monthly & Weekly Sales & Production Planner Tracking Sheet;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;01st Dec 25;;;;;08th Dec 25;;;;;15th Dec 25;;;;;22nd Dec 25;;;;;Dec-25;;;;;;;
Dec-25;;;;;Week 1;;;;;Week 2;;;;;Week 3;;;;;Week 4;;;;;Performance Analysis for the Month;;;;Carry over items to Jan-26;;;
;;;;;Target;Target;Actual;Actual;Comment/Action plan (week 1);Target;Target;Actual;Actual;Comment/Action plan (week 2);Target;Target;Actual;Actual;Comment/Action plan (week 3);Target;Target;Actual;Actual;Comment/Action plan (week 4);Target;Target;Actual;Actual;(Exclude from Dec-25 target);;Comment;Action Plan
Sales Order #;Customer ;Product Type;Quantity;Amount;Qty;Amount;Qty;Amount;;Qty;Amount;Qty;Amount;;Qty;Amount;Qty;Amount;;Qty;Amount;Qty;Amount;;Qty;Amount;Qty;Amount;Qty;Amount;;
SO-19427;GLODINA TOWELLING (PTY) LTD;TEX 36/3 O COTTON RS 2.2 Kg; 2 000 ; 128 400,00 ; 2 000 ; 128 400,00 ; 2 450 ; 157 290,00 ;; -   ; -   ;; -   ;;;;;;;;;;;; 2 000 ; 128 400,00 ; 2 450 ; 157 290,00 ; -   ; -   ;;
SO-19444;ZAHA INDUSTRIES (PTY) LTD;TEX 36/1 O COTTON OE + WAX; 800 ; 44 800,00 ; 800 ; 44 800,00 ; -   ; -   ;; -   ; -   ;; -   ;;;;;;;;;;;; 800 ; 44 800,00 ; -   ; -   ; 800 ; 44 800,00 ;;
SO-19445;ZAHA INDUSTRIES (PTY) LTD;TEX 36/1 O COTTON OE + WAX; 300 ; 16 800,00 ; 300 ; 16 800,00 ; -   ; -   ;; -   ; -   ;; -   ;;;;;;;;;;;; 300 ; 16 800,00 ; -   ; -   ; 300 ; 16 800,00 ;;
SO-19454;GOLDENGLO CANDLE & SOAP MANUFACTURES (PTY) LTD;TEX 200/3 AOE R/W; 2 000 ; 136 000,00 ; 1 000 ; 68 000,00 ;0; -   ;; 1 000 ; 68 000,00 ;; -   ;;;;;;;;;;;; 2 000 ; 136 000,00 ; -   ; -   ; 2 000 ; 136 000,00 ;;
SO-19455;GOLDENGLO CANDLE & SOAP MANUFACTURES (PTY) LTD;TEX 200/3 A COTTON RS 50MM; 500 ; 42 500,00 ; 500 ; 42 500,00 ;0; -   ;; -   ; -   ;; -   ;;;;;;;;;;;; 500 ; 42 500,00 ; -   ; -   ; 500 ; 42 500,00 ;;
SO-19458;GOUROCK ZAMBIA LTD;TEX 200/4 AOE 5OO GRMS; 500 ; 29 000,00 ; 500 ; 29 000,00 ;0; -   ;; -   ; -   ;; -   ;;;;;;;;;;;; 500 ; 29 000,00 ; -   ; -   ; 500 ; 29 000,00 ;;
SO-19463;SASOL CHEMICALS A DIV. OF SASOL SA;TEX 1100/3 T1824 + 50/4 PES OE BOM2; 4 000 ; 401 640,00 ; 4 000 ; 401 640,00 ;0; -   ;; -   ; -   ;; -   ;;;;;;;;;;;; 4 000 ; 401 640,00 ; -   ; -   ; 4 000 ; 401 640,00 ;;
SO-19464;SASOL CHEMICALS A DIV. OF SASOL SA;TEX 60/2 PES OPEN END BOM2; 600 ; 40 230,00 ; 600 ; 40 230,00 ;332; 22 260,60 ;; -   ; -   ;; -   ;;;;;;;;;;;; 600 ; 40 230,00 ; 332 ; 22 260,60 ; 268 ; 17 969,40 ;;
SO-19476;WEAVEWELL CC;TEX 50/2 POLYESTER OE,  ; 300 ; 17 985,00 ; 300 ; 17 985,00 ;305; 18 284,75 ;; -   ; -   ;; -   ;;;;;;;;;;;; 300 ; 17 985,00 ; 305 ; 18 284,75 ; -   ; -   ;;
SO-19501;PIONEER BRAIDERS PTY LTD;TEX 100/1 DOE SPECIAL; 188 ; 41 900,00 ; 188 ; 41 966,97 ;733; 163 626,53 ;; -   ; -   ;; -   ;;;;;;;;;;;; 188 ; 41 966,97 ; 733 ; 163 626,53 ; -   ; -   ;;
SO-19510;THE GOOD HOPE TEXTILE CORPORATION (PTY) LTD;TEX 36/1 O COTTON R66 OE; 10 000 ; -   ;10000; -   ;0; -   ;; -   ; -   ;; -   ;;;;;;;;;;;; 10 000 ; -   ; -   ; -   ; 10 000 ; -   ;;
SO-19511;THE GOOD HOPE TEXTILE CORPORATION (PTY) LTD;TEX 42/1 O COTTON OE R66; 15 000 ; 1 232 006,28 ; 15 000 ; 1 232 006,28 ;15388; 1 263 874,18 ;; -   ; -   ;; -   ;;;;;;;;;;;; 15 000 ; 1 232 006,28 ; 15 388 ; 1 263 874,18 ; -   ; -   ;;
SO-19512;THE GOOD HOPE TEXTILE CORPORATION (PTY) LTD;TEX 72/1 O COTTON OE 5.2 TF; 1 809 ; 179 100,00 ; 1 800 ; 178 258,23 ;0; -   ;; 9 ; 841,77 ;; -   ;;;;;;;;;;;; 1 809 ; 179 100,00 ; -   ; -   ; 1 809 ; 179 100,00 ;;
SO-19513;THE GOOD HOPE TEXTILE CORPORATION (PTY) LTD;TEX 72/2 A COTTON OE; 1 898 ; 177 600,00 ; 1 800 ; 168 474,31 ;1180; 110 444,27 ;; 98 ; 9 125,69 ;; -   ;;;;;;;;;;;; 1 898 ; 177 600,00 ; 1 180 ; 110 444,27 ; 718 ; 67 155,73 ;;
SO-19514;THE GOOD HOPE TEXTILE CORPORATION (PTY) LTD;TEX 100/1 O COT OE - 5.2 TF; 653 ; 119 400,00 ; 650 ; 118 851,45 ;0; -   ;; 3 ; 548,55 ;; -   ;;;;;;;;;;;; 653 ; 119 400,00 ; -   ; -   ; 653 ; 119 400,00 ;;
SO-19521;D H BROTHERS INDUSTRIES PTY LTD;TEX 185/5 D COTTON OE; 1 297 ; 179 600,00 ; 950 ; 131 600,46 ;946; 131 046,36 ;Additional 360kgs invoiced against SO-19658; 347 ; 47 999,54 ; 863 ; 119 548,63 ;;;;;;;;;;;; 1 297 ; 179 600,00 ; 1 809 ; 250 594,99 ; -   ; -   ;;
SO-19523;PADRILLO (PTY) LTD;TEX 80/3 POLYESTER RS; 1 000 ; 56 390,00 ; 1 000 ; 56 390,00 ;1886; 106 351,54 ;; -   ; -   ;; -   ;;;;;;;;;;;; 1 000 ; 56 390,00 ; 1 886 ; 106 351,54 ; -   ; -   ;;
SO-19547;S.A.A.  T/A GARY'S COTTON SHOP;TEX 80/4 POLYESTER RS 1.8-2.0Kg; 300 ; 17 940,00 ; 300 ; 17 940,00 ;225; 13 455,00 ;; -   ; -   ;; -   ;;;;;;;;;;;; 300 ; 17 940,00 ; 225 ; 13 455,00 ; 75 ; 4 485,00 ;;
SO-19556;COIMBRA TRADING CC T/A NU-MYMTEX;TEX 20/2 COTTON RING SPUN 570-S; 500 ; 42 000,00 ; 500 ; 42 000,00 ;0; -   ;; -   ; -   ;; -   ;;;;;;;;;;;; 500 ; 42 000,00 ; -   ; -   ; 500 ; 42 000,00 ;;
SO-19571;KLINGER (PTY) LTD;TEX 270/2 GLASS/ACRYLIC; 500 ; 74 995,00 ; 500 ; 74 995,00 ;0; -   ;; -   ; -   ; 571 ; 85 644,29 ;;;;;;;;;;;; 500 ; 74 995,00 ; 571 ; 85 644,29 ; -   ; -   ;;
SO-19573;ARTFULLY DYED (PTY) LTD t/a COLOURSPUN;TEX 150/2 O COTTON RS; 100 ; 9 709,00 ; 100 ; 9 709,00 ;0; -   ;; -   ; -   ; 63 ; 6 116,67 ;;;;;;;;;;;; 100 ; 9 709,00 ; 63 ; 6 116,67 ; 37 ; 3 592,33 ;;
SO-19574;ARTFULLY DYED (PTY) LTD t/a COLOURSPUN;TEX 200/2 O COTTON RS; 100 ; 9 425,00 ; 100 ; 9 425,00 ;0; -   ;; -   ; -   ; 94 ; 8 859,50 ;;;;;;;;;;;; 100 ; 9 425,00 ; 94 ; 8 859,50 ; 6 ; 565,50 ;;
